iter	Passed	Remaining
300	5985	3956
301	6003	3935
302	6022	3915
303	6039	3894
304	6057	3873
305	6075	3851
306	6092	3830
307	6108	3808
308	6126	3786
309	6143	3765
310	6160	3743
311	6177	3722
312	6194	3700
313	6210	3678
314	6230	3659
315	6247	3637
316	6264	3616
317	6280	3594
318	6298	3573
319	6315	3552
320	6332	3531
321	6349	3510
322	6367	3489
323	6385	3468
324	6402	3447
325	6418	3425
326	6436	3405
327	6453	3384
328	6470	3363
329	6487	3341
330	6504	3321
331	6521	3299
332	6538	3278
333	6555	3257
334	6572	3237
335	6589	3216
336	6608	3196
337	6623	3174
338	6639	3153
339	6655	3131
340	6672	3111
341	6689	3090
342	6709	3071
343	6726	3050
344	6743	3029
345	6759	3008
346	6776	2987
347	6792	2966
348	6810	2946
349	6827	2926
350	6847	2906
351	6863	2885
352	6881	2865
353	6898	2845
354	6915	2824
355	6931	2803
356	6948	2783
357	6966	2763
358	6984	2743
359	7002	2723
360	7017	2702
361	7033	2681
362	7050	2660
363	7067	2640
364	7083	2619
365	7101	2600
366	7119	2580
367	7134	2559
368	7152	2539
369	7169	2518
370	7188	2499
371	7203	2478
372	7220	2458
373	7236	2437
374	7258	2419
375	7278	2400
376	7300	2381
377	7322	2363
378	7340	2343
379	7359	2324
380	7376	2304
381	7395	2284
382	7412	2264
383	7429	2244
384	7446	2224
385	7466	2205
386	7486	2186
387	7503	2166
388	7522	2146
389	7541	2127
390	7560	2107
391	7576	2087
392	7594	2067
393	7610	2047
394	7629	2028
395	7646	2008
396	7663	1988
397	7680	1968
398	7697	1948
399	7716	1929
400	7735	1909
401	7752	1889
402	7769	1870
403	7788	1850
404	7807	1831
405	7824	1811
406	7840	1791
407	7857	1771
408	7875	1752
409	7893	1732
410	7914	1713
411	7933	1694
412	7956	1676
413	7978	1657
414	7999	1638
415	8021	1619
416	8040	1600
417	8057	1580
418	8075	1561
419	8097	1542
420	8115	1522
421	8134	1503
422	8153	1484
423	8170	1464
424	8187	1444
425	8205	1425
426	8225	1406
427	8243	1386
428	8263	1367
429	8281	1348
430	8299	1328
431	8317	1309
432	8333	1289
433	8350	1269
434	8369	1250
435	8391	1231
436	8410	1212
437	8429	1193
438	8449	1174
439	8467	1154
440	8484	1135
441	8501	1115
442	8520	1096
443	8538	1076
444	8556	1057
445	8571	1037
446	8590	1018
447	8606	998
448	8624	979
449	8642	960
450	8660	940
451	8678	921
452	8696	902
453	8712	882
454	8729	863
455	8747	844
456	8765	824
457	8781	805
458	8808	786
459	8833	768
460	8851	748
461	8865	729
462	8880	709
463	8896	690
464	8913	670
465	8933	651
466	8950	632
467	8968	613
468	8992	594
469	9010	575
470	9027	555
471	9045	536
472	9062	517
473	9084	498
474	9103	479
475	9125	460
476	9142	440
477	9162	421
478	9182	402
479	9202	383
480	9228	364
481	9249	345
482	9274	326
483	9297	307
484	9321	288
485	9341	269
486	9360	249
487	9378	230
488	9396	211
489	9417	192
490	9436	172
491	9454	153
492	9472	134
493	9489	115
494	9507	96
495	9523	76
496	9541	57
497	9559	38
498	9579	19
499	9596	0
