iter	RMSE
354	559.0897846
355	559.052317
356	558.9810199
357	558.9220925
358	558.8435855
359	558.8289017
360	558.7792042
361	558.7205258
362	558.646634
363	558.5839351
364	558.5428864
365	558.4923064
366	558.4190148
367	558.356999
368	558.2876898
369	558.1851938
370	558.100299
371	558.0771636
372	558.0548231
373	558.0369603
374	558.0083042
375	557.9424219
376	557.8421159
377	557.7470166
378	557.7304354
379	557.6699959
380	557.5468784
381	557.4659211
382	557.3941332
383	557.3738877
384	557.3014867
385	557.2422089
386	557.153325
387	557.117268
388	557.0842682
389	556.9933997
390	556.9076515
391	556.845835
392	556.8084871
393	556.7644943
394	556.7052653
395	556.6693724
396	556.58494
397	556.5236962
398	556.4587998
399	556.3994973
400	556.3534599
401	556.3089322
402	556.2329779
403	556.1611989
404	556.1219273
405	556.0490804
406	556.0122738
407	555.9795723
408	555.9266999
409	555.804245
410	555.7434365
411	555.7249396
412	555.66539
413	555.5977206
414	555.5859598
415	555.5273351
416	555.4075565
417	555.3533445
418	555.2827839
419	555.2377731
420	555.1853183
421	555.1034476
422	555.0730113
423	555.0242493
424	554.9528956
425	554.907698
426	554.8594717
427	554.8052946
428	554.7627942
429	554.6867852
430	554.6295672
431	554.5515286
432	554.5381158
433	554.4843946
434	554.4132907
435	554.3546138
436	554.2933014
437	554.1982777
438	554.1292456
439	554.0898064
440	554.0451798
441	553.9818162
442	553.9378983
443	553.8166795
444	553.752894
445	553.7400276
446	553.6961993
447	553.6237423
448	553.5988306
449	553.5211716
450	553.4516797
451	553.386852
452	553.2778644
453	553.2654787
454	553.1995457
455	553.1836737
456	553.1310962
457	553.0940942
458	552.9869421
459	552.942911
460	552.8663842
461	552.8264862
462	552.7093562
463	552.6092883
464	552.5437399
465	552.5021478
466	552.4695009
467	552.339712
468	552.2731797
469	552.2244657
470	552.1730273
471	552.1599376
472	552.1241124
473	552.0734118
474	552.0054317
475	551.9715662
476	551.9344729
477	551.7832375
478	551.6957534
479	551.6200577
480	551.5833142
481	551.5559914
482	551.5125915
483	551.4343235
484	551.3390178
485	551.2357808
486	551.2124232
487	551.1776425
488	551.0421037
489	550.9807528
490	550.9201461
491	550.8604155
492	550.799845
493	550.7925173
494	550.7115965
495	550.6751436
496	550.6519844
497	550.6009829
498	550.5116518
499	550.4634409
